Type	Price	Timestamp	InstanceType	ProductDescription	AvailabilityZone
SPOTINSTANCEPRICE	0.009700	2016-09-12T00:59:35+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T00:59:09+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T00:58:44+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T00:58:21+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T00:53:31+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T00:52:44+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T00:52:18+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T00:51:06+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T00:32:32+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T00:20:47+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T00:20:21+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T00:19:57+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T00:19:33+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T00:17:54+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T00:12:39+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T00:11:27+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T00:11:02+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T00:08:18+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T00:06:35+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T00:06:14+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T00:05:48+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T00:05:21+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T00:03:20+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T00:02:06+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-11T23:48:45+0800	m3.medium	Linux/UNIX	us-east-1a
